_key,killedUsingWeapon,hasIBCCode
11194,gunfire,k4724-vn1663
11195, executed,k4724-vn1663
11196,gunfire,k4724-xw1724
11197, executed,k4724-xw1724
11198,gunfire,k4724-ve1741
11199, executed,k4724-ve1741
11200,gunfire,k4724-xf1798
11201, executed,k4724-xf1798
11202,gunfire,k4724-df1720
11203, executed,k4724-df1720
11204,gunfire,k4724-eh1737
11205, executed,k4724-eh1737
11206,gunfire,k4724-dh1794
11207, executed,k4724-dh1794
11208,gunfire,k4724-nb1822
11209, executed,k4724-nb1822
11210,gunfire,k4724-kn1749
11211, executed,k4724-kn1749
11212,gunfire,k4724-nd1764
11213, executed,k4724-nd1764
11214,gunfire,k4724-kr1687
11215, executed,k4724-kr1687
11216,gunfire,k4724-xv1818
11217, executed,k4724-xv1818
11218,gunfire,k4724-kv1745
11219, executed,k4724-kv1745
11220,gunfire,k4724-xz1760
11221, executed,k4724-xz1760
11222,gunfire,k4724-kz1691
11223, executed,k4724-kz1691
11224,gunfire,k4724-bu1814
11225, executed,k4724-bu1814
11226,gunfire,k4724-hr1757
11227, executed,k4724-hr1757
11228,gunfire,k4724-xr1842
11229, executed,k4724-xr1842
11230,gunfire,d1653b-bx2633
11231, executed,d1653b-bx2633
11232,gunfire,d9079-kf2446
11233, executed,d9079-kf2446
11234,roadside bomb,k4708-zv3678
11235,roadside bomb,k4708-sz3477
11236,roadside bomb,k4708-ev3488
11237,roadside bomb,d13156-xe3535
11238,gunfire,k4694-zw853
11239,gunfire,d0816-xv810
11240,gunfire,k4685-hs756
11241,gunfire,d10226-fn2730
11242,US gunfire,d4428-fe1795
11243,US gunfire,d4428-hn1848
11244,gunfire,d9078-hd2608
11245,gunfire,d13155-sv3543
11246,gunfire,k4677-ks761
11247, executed,k4677-ks761
11248,gunfire,k4677-ns776
11249, executed,k4677-ns776
11250,AK-47 Kalashnikov rifle,k15926-ck1688
11251, executed,k15926-ck1688
11252,Gunfire,x858-bw843
11253,gunfire,k4703-xw876
11254,gunfire,k4704-ve861
11255,car bombs,k4710-eh857
11256, mortar rounds,k4710-eh857
11257,car bombs,k4710-xc1490
11258, mortar rounds,k4710-xc1490
11259,among mass abductees; body found 'torn apart',x883-kf678
11260,,d0794-dv651
11261,,d0795-ue778
11262,gunfire,d9076-hz2442
11263,gunfire,d9077-bz2571
11264,gunfire,d0952a-xk3610
11265, executed,d0952a-xk3610
11266,gunfire,d0952b-bw3483
11267,murdered,d13151-fv3541
11268,gunfire,d13152-hm3614
11269, executed,d13152-hm3614
11270,improvised explosive device,d13153-fz3479
11271,gunfire,d13154-hs3556
11272,drive-by shooting,k4661-vc730
11273,gunfire,k4662-xn785
11274, tortured,k4662-xn785
11275, executed,k4662-xn785
11276,gunfire,k4664-sr789
11277,gunfire,k4666-zm809
11278,gunfire,k4667-xr738
11279,gunfire,k4707-df872
11280,gunfire,d9075-bv2625
11281,gunfire,d1649a-bz3475
11282,gunfire,d1649a-hd3560
11283,gunfire,d1649b-kh3564
11284,gunfire,d8925-hv2579
11285,gunfire,k4650-zn808
11286,gunfire,k4651-sd851
11287,gunfire,k4652-sx793
11288, US air fire,k4652-sx793
11289,gunfire,k4655-dm847
11290,tortured,k4653-ea1736
11291,tortured,k4653-dx1651
